Series ID,Year,Period,Label,Value
CUUR0000SA0,2019,M01,2019 Jan,251.712
CUUR0000SA0,2019,M02,2019 Feb,252.776
CUUR0000SA0,2019,M03,2019 Mar,254.202
CUUR0000SA0,2019,M04,2019 Apr,255.548
CUUR0000SA0,2019,M05,2019 May,256.092
CUUR0000SA0,2019,M06,2019 Jun,256.143
CUUR0000SA0,2019,M07,2019 Jul,256.571
CUUR0000SA0,2019,M08,2019 Aug,256.558
CUUR0000SA0,2019,M09,2019 Sep,256.759
CUUR0000SA0,2019,M10,2019 Oct,257.346
CUUR0000SA0,2019,M11,2019 Nov,257.208
CUUR0000SA0,2019,M12,2019 Dec,256.974
CUUR0000SA0,2020,M01,2020 Jan,257.971
CUUR0000SA0,2020,M02,2020 Feb,258.678
CUUR0000SA0,2020,M03,2020 Mar,258.115
CUUR0000SA0,2020,M04,2020 Apr,256.389
CUUR0000SA0,2020,M05,2020 May,256.394
CUUR0000SA0,2020,M06,2020 Jun,257.797
CUUR0000SA0,2020,M07,2020 Jul,259.101
CUUR0000SA0,2020,M08,2020 Aug,259.918
CUUR0000SA0,2020,M09,2020 Sep,260.28
CUUR0000SA0,2020,M10,2020 Oct,260.388
CUUR0000SA0,2020,M11,2020 Nov,260.229
CUUR0000SA0,2020,M12,2020 Dec,260.474
CUUR0000SA0,2021,M01,2021 Jan,261.582
CUUR0000SA0,2021,M02,2021 Feb,263.014
CUUR0000SA0,2021,M03,2021 Mar,264.877
CUUR0000SA0,2021,M04,2021 Apr,267.054
CUUR0000SA0,2021,M05,2021 May,269.195
CUUR0000SA0,2021,M06,2021 Jun,271.696
CUUR0000SA0,2021,M07,2021 Jul,273.003
CUUR0000SA0,2021,M08,2021 Aug,273.567
CUUR0000SA0,2021,M09,2021 Sep,274.31
CUUR0000SA0,2021,M10,2021 Oct,276.589
CUUR0000SA0,2021,M11,2021 Nov,277.948
CUUR0000SA0,2021,M12,2021 Dec,278.802
CUUR0000SA0,2022,M01,2022 Jan,281.148
CUUR0000SA0,2022,M02,2022 Feb,283.716
CUUR0000SA0,2022,M03,2022 Mar,287.504
CUUR0000SA0,2022,M04,2022 Apr,289.109
CUUR0000SA0,2022,M05,2022 May,292.296
CUUR0000SA0,2022,M06,2022 Jun,296.311
CUUR0000SA0,2022,M07,2022 Jul,296.276
CUUR0000SA0,2022,M08,2022 Aug,296.171
CUUR0000SA0,2022,M09,2022 Sep,296.808
CUUR0000SA0,2022,M10,2022 Oct,298.012
CUUR0000SA0,2022,M11,2022 Nov,297.711
CUUR0000SA0,2022,M12,2022 Dec,296.797
CUUR0000SA0,2023,M01,2023 Jan,299.17
CUUR0000SA0,2023,M02,2023 Feb,300.84
CUUR0000SA0,2023,M03,2023 Mar,301.836
CUUR0000SA0,2023,M04,2023 Apr,303.363
CUUR0000SA0,2023,M05,2023 May,304.127
CUUR0000SA0,2023,M06,2023 Jun,305.109
CUUR0000SA0,2023,M07,2023 Jul,305.691
CUUR0000SA0,2023,M08,2023 Aug,307.026
CUUR0000SA0,2023,M09,2023 Sep,307.789
CUUR0000SA0,2023,M10,2023 Oct,307.671
CUUR0000SA0,2023,M11,2023 Nov,307.051
CUUR0000SA0,2023,M12,2023 Dec,306.746
CUUR0000SA0,2024,M01,2024 Jan,308.417
CUUR0000SA0,2024,M02,2024 Feb,310.326
CUUR0000SA0,2024,M03,2024 Mar,312.332
CUUR0000SA0,2024,M04,2024 Apr,313.548
CUUR0000SA0,2024,M05,2024 May,314.069
CUUR0000SA0,2024,M06,2024 Jun,314.175
CUUR0000SA0,2024,M07,2024 Jul,314.54
CUUR0000SA0,2024,M08,2024 Aug,314.796
CUUR0000SA0,2024,M09,2024 Sep,315.301
CUUR0000SA0,2024,M10,2024 Oct,315.664
CUUR0000SA0,2024,M11,2024 Nov,315.493
CUUR0000SA0,2024,M12,2024 Dec,315.605
CUUR0000SA0,2025,M01,2025 Jan,317.671
CUUR0000SA0,2025,M02,2025 Feb,319.082
CUUR0000SA0,2025,M03,2025 Mar,319.799
CUUR0000SA0,2025,M04,2025 Apr,320.795
CUUR0000SA0,2025,M05,2025 May,321.465
CUUR0000SA0,2025,M06,2025 Jun,322.561
CUUR0000SA0,2025,M07,2025 Jul,323.048
CUUR0000SA0,2025,M08,2025 Aug,323.976
CUUR0000SA0,2025,M09,2025 Sep,324.8
