Date,Month,Year,Period,Price
9/1/2025,9,2025,2025-09,"6,688.46"
8/1/2025,8,2025,2025-08,"6,460.26"
7/1/2025,7,2025,2025-07,"6,339.39"
6/1/2025,6,2025,2025-06,"6,204.95"
5/1/2025,5,2025,2025-05,"5,911.69"
4/1/2025,4,2025,2025-04,"5,569.06"
3/1/2025,3,2025,2025-03,"5,611.85"
2/1/2025,2,2025,2025-02,"5,954.50"
1/1/2025,1,2025,2025-01,"6,040.53"
12/1/2024,12,2024,2024-12,"5,881.63"
11/1/2024,11,2024,2024-11,"6,032.38"
10/1/2024,10,2024,2024-10,"5,705.45"
9/1/2024,9,2024,2024-09,"5,762.48"
8/1/2024,8,2024,2024-08,"5,648.40"
7/1/2024,7,2024,2024-07,"5,522.30"
6/1/2024,6,2024,2024-06,"5,460.48"
5/1/2024,5,2024,2024-05,"5,277.51"
4/1/2024,4,2024,2024-04,"5,035.69"
3/1/2024,3,2024,2024-03,"5,254.35"
2/1/2024,2,2024,2024-02,"5,096.27"
1/1/2024,1,2024,2024-01,"4,845.65"
12/1/2023,12,2023,2023-12,"4,769.83"
11/1/2023,11,2023,2023-11,"4,567.80"
10/1/2023,10,2023,2023-10,"4,193.80"
9/1/2023,9,2023,2023-09,"4,288.05"
8/1/2023,8,2023,2023-08,"4,507.66"
7/1/2023,7,2023,2023-07,"4,588.96"
6/1/2023,6,2023,2023-06,"4,450.38"
5/1/2023,5,2023,2023-05,"4,179.83"
4/1/2023,4,2023,2023-04,"4,169.48"
3/1/2023,3,2023,2023-03,"4,109.31"
2/1/2023,2,2023,2023-02,"3,970.15"
1/1/2023,1,2023,2023-01,"4,076.60"
12/1/2022,12,2022,2022-12,"3,839.50"
11/1/2022,11,2022,2022-11,"4,080.11"
10/1/2022,10,2022,2022-10,"3,871.98"
9/1/2022,9,2022,2022-09,"3,585.62"
8/1/2022,8,2022,2022-08,"3,955.00"
7/1/2022,7,2022,2022-07,"4,130.29"
6/1/2022,6,2022,2022-06,"3,785.38"
5/1/2022,5,2022,2022-05,"4,132.15"
4/1/2022,4,2022,2022-04,"4,131.93"
3/1/2022,3,2022,2022-03,"4,530.41"
2/1/2022,2,2022,2022-02,"4,373.94"
1/1/2022,1,2022,2022-01,"4,515.55"
12/1/2021,12,2021,2021-12,"4,766.18"
11/1/2021,11,2021,2021-11,"4,567.00"
10/1/2021,10,2021,2021-10,"4,605.38"
9/1/2021,9,2021,2021-09,"4,307.54"
8/1/2021,8,2021,2021-08,"4,522.68"
7/1/2021,7,2021,2021-07,"4,395.26"
6/1/2021,6,2021,2021-06,"4,297.50"
5/1/2021,5,2021,2021-05,"4,204.11"
4/1/2021,4,2021,2021-04,"4,181.17"
3/1/2021,3,2021,2021-03,"3,972.89"
2/1/2021,2,2021,2021-02,"3,811.15"
1/1/2021,1,2021,2021-01,"3,714.24"
12/1/2020,12,2020,2020-12,"3,756.07"
11/1/2020,11,2020,2020-11,"3,621.63"
10/1/2020,10,2020,2020-10,"3,269.96"
9/1/2020,9,2020,2020-09,"3,363.00"
8/1/2020,8,2020,2020-08,"3,500.31"
7/1/2020,7,2020,2020-07,"3,271.12"
6/1/2020,6,2020,2020-06,"3,100.29"
5/1/2020,5,2020,2020-05,"3,044.31"
4/1/2020,4,2020,2020-04,"2,912.43"
3/1/2020,3,2020,2020-03,"2,584.59"
2/1/2020,2,2020,2020-02,"2,954.22"
1/1/2020,1,2020,2020-01,"3,225.52"
12/1/2019,12,2019,2019-12,"3,230.78"
11/1/2019,11,2019,2019-11,"3,140.98"
10/1/2019,10,2019,2019-10,"3,037.56"
9/1/2019,9,2019,2019-09,"2,976.74"
8/1/2019,8,2019,2019-08,"2,926.46"
7/1/2019,7,2019,2019-07,"2,980.38"
6/1/2019,6,2019,2019-06,"2,941.76"
5/1/2019,5,2019,2019-05,"2,752.06"
4/1/2019,4,2019,2019-04,"2,945.83"
3/1/2019,3,2019,2019-03,"2,834.40"
2/1/2019,2,2019,2019-02,"2,784.49"
1/1/2019,1,2019,2019-01,"2,704.10"
